year,state,month,number,date
2009,Minas Gerais,Oct,1.013,1/1/2009
2010,Minas Gerais,Oct,2.048,1/1/2010
2011,Minas Gerais,Oct,1.206,1/1/2011
2012,Minas Gerais,Oct,3.97,1/1/2012
2013,Minas Gerais,Oct,1.221,1/1/2013
2014,Minas Gerais,Oct,4.735,1/1/2014
2015,Minas Gerais,Oct,3.708,1/1/2015
2016,Minas Gerais,Oct,948,1/1/2016
2017,Minas Gerais,Oct,3.062,1/1/2017
1998,Minas Gerais,Nov,32,1/1/1998
1999,Minas Gerais,Nov,271,1/1/1999
2000,Minas Gerais,Nov,43,1/1/2000
2001,Minas Gerais,Nov,62,1/1/2001
2002,Minas Gerais,Nov,417,1/1/2002
2003,Minas Gerais,Nov,399,1/1/2003
2004,Minas Gerais,Nov,914,1/1/2004
2005,Minas Gerais,Nov,422,1/1/2005
2006,Minas Gerais,Nov,59,1/1/2006
2007,Minas Gerais,Nov,1.305,1/1/2007
2008,Minas Gerais,Nov,892,1/1/2008
2009,Minas Gerais,Nov,246,1/1/2009
2010,Minas Gerais,Nov,82,1/1/2010
2011,Minas Gerais,Nov,153,1/1/2011
2012,Minas Gerais,Nov,220,1/1/2012
2013,Minas Gerais,Nov,277,1/1/2013
2014,Minas Gerais,Nov,398,1/1/2014
2015,Minas Gerais,Nov,1.453,1/1/2015
2016,Minas Gerais,Nov,126,1/1/2016
2017,Minas Gerais,Nov,136,1/1/2017
1998,Minas Gerais,Dec,21,1/1/1998
1999,Minas Gerais,Dec,32,1/1/1999
2000,Minas Gerais,Dec,14,1/1/2000
2001,Minas Gerais,Dec,44,1/1/2001
2002,Minas Gerais,Dec,225,1/1/2002
2003,Minas Gerais,Dec,225,1/1/2003
2004,Minas Gerais,Dec,125,1/1/2004
2005,Minas Gerais,Dec,65,1/1/2005
2006,Minas Gerais,Dec,32,1/1/2006
2007,Minas Gerais,Dec,95,1/1/2007
2008,Minas Gerais,Dec,25,1/1/2008
2009,Minas Gerais,Dec,108,1/1/2009
2010,Minas Gerais,Dec,105,1/1/2010
2011,Minas Gerais,Dec,43,1/1/2011
2012,Minas Gerais,Dec,189,1/1/2012
2013,Minas Gerais,Dec,98,1/1/2013
2014,Minas Gerais,Dec,155,1/1/2014
2015,Minas Gerais,Dec,295,1/1/2015
2016,Minas Gerais,Dec,91,1/1/2016
1998,Pará,Jan,0,1/1/1998
1999,Pará,Jan,87,1/1/1999
2000,Pará,Jan,30,1/1/2000
2001,Pará,Jan,34,1/1/2001
2002,Pará,Jan,144,1/1/2002
2003,Pará,Jan,900,1/1/2003
2004,Pará,Jan,579,1/1/2004
2005,Pará,Jan,1.768,1/1/2005
2006,Pará,Jan,403,1/1/2006
2007,Pará,Jan,467,1/1/2007
2008,Pará,Jan,131,1/1/2008
2009,Pará,Jan,241,1/1/2009
2010,Pará,Jan,437,1/1/2010
2011,Pará,Jan,108,1/1/2011
2012,Pará,Jan,392,1/1/2012
2013,Pará,Jan,167,1/1/2013
2014,Pará,Jan,251,1/1/2014
2015,Pará,Jan,725,1/1/2015
2016,Pará,Jan,1.322,1/1/2016
2017,Pará,Jan,219,1/1/2017
1998,Pará,Feb,0,1/1/1998
1999,Pará,Feb,285,1/1/1999
2000,Pará,Feb,29,1/1/2000
2001,Pará,Feb,16,1/1/2001
2002,Pará,Feb,120,1/1/2002
2003,Pará,Feb,34,1/1/2003
2004,Pará,Feb,20,1/1/2004
2005,Pará,Feb,85,1/1/2005
2006,Pará,Feb,49,1/1/2006
2007,Pará,Feb,23,1/1/2007
2008,Pará,Feb,54,1/1/2008
2009,Pará,Feb,15,1/1/2009
2010,Pará,Feb,102,1/1/2010
2011,Pará,Feb,13,1/1/2011
2012,Pará,Feb,63,1/1/2012
2013,Pará,Feb,30,1/1/2013
2014,Pará,Feb,37,1/1/2014
2015,Pará,Feb,108,1/1/2015
2016,Pará,Feb,430,1/1/2016
2017,Pará,Feb,14,1/1/2017
1998,Pará,March,0,1/1/1998
1999,Pará,March,7,1/1/1999
2000,Pará,March,181,1/1/2000
2001,Pará,March,0,1/1/2001
2002,Pará,March,14,1/1/2002
2003,Pará,March,27,1/1/2003
2004,Pará,March,22,1/1/2004
2005,Pará,March,21,1/1/2005
2006,Pará,March,10,1/1/2006
2007,Pará,March,6,1/1/2007
2008,Pará,March,4,1/1/2008
2009,Pará,March,4,1/1/2009
2010,Pará,March,110,1/1/2010
2011,Pará,March,21,1/1/2011
2012,Pará,March,30,1/1/2012
2013,Pará,March,19,1/1/2013
2014,Pará,March,34,1/1/2014
2015,Pará,March,61,1/1/2015
2016,Pará,March,81,1/1/2016
2017,Pará,March,42,1/1/2017
1998,Pará,April,0,1/1/1998
1999,Pará,April,6,1/1/1999
2000,Pará,April,40,1/1/2000
2001,Pará,April,0,1/1/2001
2002,Pará,April,11,1/1/2002
2003,Pará,April,14,1/1/2003
2004,Pará,April,23,1/1/2004
2005,Pará,April,14,1/1/2005
2006,Pará,April,2,1/1/2006
2007,Pará,April,0,1/1/2007
2008,Pará,April,7,1/1/2008
2009,Pará,April,8,1/1/2009
2010,Pará,April,22,1/1/2010
2011,Pará,April,10,1/1/2011
2012,Pará,April,11,1/1/2012
2013,Pará,April,20,1/1/2013
2014,Pará,April,27,1/1/2014
2015,Pará,April,27,1/1/2015
2016,Pará,April,66,1/1/2016
2017,Pará,April,45,1/1/2017
1998,Pará,May,0,1/1/1998
1999,Pará,May,4,1/1/1999
2000,Pará,May,12,1/1/2000
2001,Pará,May,7,1/1/2001
2002,Pará,May,18,1/1/2002
2003,Pará,May,3,1/1/2003
2004,Pará,May,44,1/1/2004
2005,Pará,May,37,1/1/2005
2006,Pará,May,0,1/1/2006
2007,Pará,May,9,1/1/2007
2008,Pará,May,0,1/1/2008
2009,Pará,May,7,1/1/2009
2010,Pará,May,57,1/1/2010
2011,Pará,May,16,1/1/2011
2012,Pará,May,59,1/1/2012
2013,Pará,May,42,1/1/2013
2014,Pará,May,70,1/1/2014
2015,Pará,May,95,1/1/2015
2016,Pará,May,154,1/1/2016
2017,Pará,May,114,1/1/2017
1998,Pará,June,58,1/1/1998
1999,Pará,June,37,1/1/1999
2000,Pará,June,59,1/1/2000
2001,Pará,June,42,1/1/2001
2002,Pará,June,149,1/1/2002
2003,Pará,June,64,1/1/2003
2004,Pará,June,340,1/1/2004
2005,Pará,June,304,1/1/2005
2006,Pará,June,78,1/1/2006
2007,Pará,June,129,1/1/2007
2008,Pará,June,48,1/1/2008
2009,Pará,June,38,1/1/2009
2010,Pará,June,94,1/1/2010
2011,Pará,June,105,1/1/2011
2012,Pará,June,183,1/1/2012
2013,Pará,June,173,1/1/2013
2014,Pará,June,319,1/1/2014
2015,Pará,June,265,1/1/2015
2016,Pará,June,502,1/1/2016
2017,Pará,June,679,1/1/2017
1998,Pará,July,638,1/1/1998
1999,Pará,July,982,1/1/1999
2000,Pará,July,426,1/1/2000
2001,Pará,July,708,1/1/2001
2002,Pará,July,772,1/1/2002
2003,Pará,July,1.571,1/1/2003
2004,Pará,July,4.436,1/1/2004
2005,Pará,July,4.364,1/1/2005
2006,Pará,July,615,1/1/2006
2007,Pará,July,476,1/1/2007
2008,Pará,July,971,1/1/2008
2009,Pará,July,397,1/1/2009
2010,Pará,July,1.432,1/1/2010
2011,Pará,July,632,1/1/2011
2012,Pará,July,661,1/1/2012
2013,Pará,July,447,1/1/2013
2014,Pará,July,825,1/1/2014
2015,Pará,July,906,1/1/2015
2016,Pará,July,1.579,1/1/2016
2017,Pará,July,4.985,1/1/2017
1998,Pará,Aug,6.815,1/1/1998
1999,Pará,Aug,6.178,1/1/1999
2000,Pará,Aug,5.484,1/1/2000
2001,Pará,Aug,9.043,1/1/2001
2002,Pará,Aug,15.664,1/1/2002
2003,Pará,Aug,6.255,1/1/2003
2004,Pará,Aug,12.812,1/1/2004
2005,Pará,Aug,13.055,1/1/2005
2006,Pará,Aug,7.575,1/1/2006
2007,Pará,Aug,14.352,1/1/2007
2008,Pará,Aug,4.435,1/1/2008
2009,Pará,Aug,3.859,1/1/2009
2010,Pará,Aug,18.13,1/1/2010
2011,Pará,Aug,2.195,1/1/2011
2012,Pará,Aug,6.964,1/1/2012
2013,Pará,Aug,2.161,1/1/2013
2014,Pará,Aug,8.555,1/1/2014
2015,Pará,Aug,7.913,1/1/2015
2016,Pará,Aug,4.863,1/1/2016
2017,Pará,Aug,11.962,1/1/2017
1998,Pará,Sept,6.237,1/1/1998
1999,Pará,Sept,4.419,1/1/1999
2000,Pará,Sept,2.569,1/1/2000
2001,Pará,Sept,6.139,1/1/2001
2002,Pará,Sept,5.609,1/1/2002
2003,Pará,Sept,8.447,1/1/2003
2004,Pará,Sept,9.471,1/1/2004
2005,Pará,Sept,9.032,1/1/2005
2006,Pará,Sept,8.372,1/1/2006
2007,Pará,Sept,14.59,1/1/2007
2008,Pará,Sept,6.294,1/1/2008
2009,Pará,Sept,6.051,1/1/2009
2010,Pará,Sept,10.81,1/1/2010
2011,Pará,Sept,5.185,1/1/2011
2012,Pará,Sept,6.87,1/1/2012
2013,Pará,Sept,3.36,1/1/2013
2014,Pará,Sept,6.787,1/1/2014
2015,Pará,Sept,11.068,1/1/2015
2016,Pará,Sept,3.953,1/1/2016
2017,Pará,Sept,25.004,1/1/2017
1998,Pará,Oct,3.665,1/1/1998
1999,Pará,Oct,5.026,1/1/1999
2000,Pará,Oct,4.313,1/1/2000
2001,Pará,Oct,5.096,1/1/2001
2002,Pará,Oct,5.189,1/1/2002
2003,Pará,Oct,3.803,1/1/2003
2004,Pará,Oct,4.726,1/1/2004
2005,Pará,Oct,5.083,1/1/2005
2006,Pará,Oct,5.964,1/1/2006
2007,Pará,Oct,2.504,1/1/2007
2008,Pará,Oct,6.653,1/1/2008
2009,Pará,Oct,6.342,1/1/2009
2010,Pará,Oct,3.843,1/1/2010
2011,Pará,Oct,3.141,1/1/2011
2012,Pará,Oct,3.714,1/1/2012
2013,Pará,Oct,4.921,1/1/2013
2014,Pará,Oct,6.448,1/1/2014
2015,Pará,Oct,7.781,1/1/2015
2016,Pará,Oct,5.281,1/1/2016
2017,Pará,Oct,7.628,1/1/2017
1998,Pará,Nov,1.861,1/1/1998
1999,Pará,Nov,2.682,1/1/1999
2000,Pará,Nov,3.366,1/1/2000
2001,Pará,Nov,4.938,1/1/2001
2002,Pará,Nov,7.996,1/1/2002
2003,Pará,Nov,6.195,1/1/2003
2004,Pará,Nov,9.842,1/1/2004
2005,Pará,Nov,4.968,1/1/2005
2006,Pará,Nov,2.883,1/1/2006
2007,Pará,Nov,2.89,1/1/2007
2008,Pará,Nov,2.403,1/1/2008
2009,Pará,Nov,10.012,1/1/2009
2010,Pará,Nov,4.417,1/1/2010
2011,Pará,Nov,3.043,1/1/2011
2012,Pará,Nov,6.156,1/1/2012
2013,Pará,Nov,3.688,1/1/2013
2014,Pará,Nov,7.767,1/1/2014
2015,Pará,Nov,9.643,1/1/2015
2016,Pará,Nov,7.879,1/1/2016
2017,Pará,Nov,9.079,1/1/2017
1998,Pará,Dec,1.008,1/1/1998
1999,Pará,Dec,766,1/1/1999
2000,Pará,Dec,1.698,1/1/2000
2001,Pará,Dec,2.564,1/1/2001
2002,Pará,Dec,3.118,1/1/2002
2003,Pará,Dec,4.787,1/1/2003
2004,Pará,Dec,5.508,1/1/2004
2005,Pará,Dec,1.495,1/1/2005
2006,Pará,Dec,1.417,1/1/2006
2007,Pará,Dec,689,1/1/2007
2008,Pará,Dec,684,1/1/2008
2009,Pará,Dec,2.832,1/1/2009
2010,Pará,Dec,1.612,1/1/2010
2011,Pará,Dec,3.218,1/1/2011
2012,Pará,Dec,1.812,1/1/2012
2013,Pará,Dec,5.514,1/1/2013
2014,Pará,Dec,4.828,1/1/2014
2015,Pará,Dec,6.61,1/1/2015
2016,Pará,Dec,3.3,1/1/2016
1998,Paraiba,Jan,0,1/1/1998
1999,Paraiba,Jan,26,1/1/1999
2000,Paraiba,Jan,0,1/1/2000
2001,Paraiba,Jan,11,1/1/2001
2002,Paraiba,Jan,5,1/1/2002
2003,Paraiba,Jan,70,1/1/2003
2004,Paraiba,Jan,33,1/1/2004
2005,Paraiba,Jan,178,1/1/2005
2006,Paraiba,Jan,83,1/1/2006
2007,Paraiba,Jan,69,1/1/2007
2008,Paraiba,Jan,77,1/1/2008
2009,Paraiba,Jan,115,1/1/2009
2010,Paraiba,Jan,46,1/1/2010
2011,Paraiba,Jan,11,1/1/2011
2012,Paraiba,Jan,61,1/1/2012
2013,Paraiba,Jan,38,1/1/2013
2014,Paraiba,Jan,75,1/1/2014
2015,Paraiba,Jan,42,1/1/2015
2016,Paraiba,Jan,18,1/1/2016
2017,Paraiba,Jan,23,1/1/2017
1998,Paraiba,Feb,0,1/1/1998
1999,Paraiba,Feb,2,1/1/1999
2000,Paraiba,Feb,11,1/1/2000
2001,Paraiba,Feb,6,1/1/2001
2002,Paraiba,Feb,18,1/1/2002
2003,Paraiba,Feb,3,1/1/2003
2004,Paraiba,Feb,3,1/1/2004
2005,Paraiba,Feb,15,1/1/2005
2006,Paraiba,Feb,7,1/1/2006
2007,Paraiba,Feb,7,1/1/2007
2008,Paraiba,Feb,20,1/1/2008
2009,Paraiba,Feb,9,1/1/2009
2010,Paraiba,Feb,15,1/1/2010
2011,Paraiba,Feb,5,1/1/2011
2012,Paraiba,Feb,15,1/1/2012
2013,Paraiba,Feb,9,1/1/2013
2014,Paraiba,Feb,6,1/1/2014
2015,Paraiba,Feb,15,1/1/2015
2016,Paraiba,Feb,4,1/1/2016
2017,Paraiba,Feb,8,1/1/2017
1998,Paraiba,March,0,1/1/1998
1999,Paraiba,March,1,1/1/1999
2000,Paraiba,March,5,1/1/2000
2001,Paraiba,March,0,1/1/2001
2002,Paraiba,March,3,1/1/2002
2003,Paraiba,March,0,1/1/2003
2004,Paraiba,March,3,1/1/2004
2005,Paraiba,March,13,1/1/2005
2006,Paraiba,March,4,1/1/2006
2007,Paraiba,March,1,1/1/2007
2008,Paraiba,March,8,1/1/2008
2009,Paraiba,March,2,1/1/2009
2010,Paraiba,March,16,1/1/2010
2011,Paraiba,March,6,1/1/2011
2012,Paraiba,March,4,1/1/2012
2013,Paraiba,March,3,1/1/2013
2014,Paraiba,March,18,1/1/2014
2015,Paraiba,March,7,1/1/2015
2016,Paraiba,March,1,1/1/2016
2017,Paraiba,March,2,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,3,1/1/1999
2000,Paraiba,April,1,1/1/2000
2001,Paraiba,April,0,1/1/2001
2002,Paraiba,April,1,1/1/2002
2003,Paraiba,April,0,1/1/2003
2004,Paraiba,April,3,1/1/2004
2005,Paraiba,April,2,1/1/2005
2006,Paraiba,April,0,1/1/2006
2007,Paraiba,April,0,1/1/2007
2008,Paraiba,April,0,1/1/2008
2009,Paraiba,April,1,1/1/2009
2010,Paraiba,April,2,1/1/2010
2011,Paraiba,April,2,1/1/2011
2012,Paraiba,April,13,1/1/2012
2013,Paraiba,April,6,1/1/2013
2014,Paraiba,April,8,1/1/2014
2015,Paraiba,April,11,1/1/2015
2016,Paraiba,April,1,1/1/2016
2017,Paraiba,April,1,1/1/2017
1998,Paraiba,May,0,1/1/1998
1999,Paraiba,May,0,1/1/1999
2000,Paraiba,May,0,1/1/2000
2001,Paraiba,May,4,1/1/2001
2002,Paraiba,May,1,1/1/2002
2003,Paraiba,May,0,1/1/2003
2004,Paraiba,May,1,1/1/2004
2005,Paraiba,May,0,1/1/2005
2006,Paraiba,May,0,1/1/2006
2007,Paraiba,May,0,1/1/2007
2008,Paraiba,May,0,1/1/2008
2009,Paraiba,May,0,1/1/2009
2010,Paraiba,May,10,1/1/2010
2011,Paraiba,May,0,1/1/2011
2012,Paraiba,May,10,1/1/2012
2013,Paraiba,May,3,1/1/2013
2014,Paraiba,May,1,1/1/2014
2015,Paraiba,May,6,1/1/2015
2016,Paraiba,May,1,1/1/2016
2017,Paraiba,May,1,1/1/2017
1998,Paraiba,June,3,1/1/1998
1999,Paraiba,June,1,1/1/1999
2000,Paraiba,June,2,1/1/2000
2001,Paraiba,June,0,1/1/2001
2002,Paraiba,June,1,1/1/2002
2003,Paraiba,June,0,1/1/2003
2004,Paraiba,June,0,1/1/2004
2005,Paraiba,June,0,1/1/2005
2006,Paraiba,June,0,1/1/2006
2007,Paraiba,June,0,1/1/2007
2008,Paraiba,June,0,1/1/2008
2009,Paraiba,June,0,1/1/2009
2010,Paraiba,June,3,1/1/2010
2011,Paraiba,June,2,1/1/2011
2012,Paraiba,June,5,1/1/2012
2013,Paraiba,June,3,1/1/2013
2014,Paraiba,June,1,1/1/2014
2015,Paraiba,June,0,1/1/2015
2016,Paraiba,June,4,1/1/2016
2017,Paraiba,June,0,1/1/2017
1998,Paraiba,July,0,1/1/1998
1999,Paraiba,July,1,1/1/1999
2000,Paraiba,July,0,1/1/2000
2001,Paraiba,July,8,1/1/2001
2002,Paraiba,July,8,1/1/2002
2003,Paraiba,July,6,1/1/2003
2004,Paraiba,July,1,1/1/2004
2005,Paraiba,July,0,1/1/2005
2006,Paraiba,July,1,1/1/2006
2007,Paraiba,July,1,1/1/2007
2008,Paraiba,July,0,1/1/2008
2009,Paraiba,July,3,1/1/2009
2010,Paraiba,July,7,1/1/2010
2011,Paraiba,July,6,1/1/2011
2012,Paraiba,July,5,1/1/2012
2013,Paraiba,July,1,1/1/2013
2014,Paraiba,July,9,1/1/2014
2015,Paraiba,July,3,1/1/2015
2016,Paraiba,July,22,1/1/2016
2017,Paraiba,July,2,1/1/2017
1998,Paraiba,Aug,3,1/1/1998
1999,Paraiba,Aug,4,1/1/1999
2000,Paraiba,Aug,7,1/1/2000
2001,Paraiba,Aug,34,1/1/2001
2002,Paraiba,Aug,38,1/1/2002
2003,Paraiba,Aug,14,1/1/2003
2004,Paraiba,Aug,18,1/1/2004
2005,Paraiba,Aug,0,1/1/2005
2006,Paraiba,Aug,3,1/1/2006
2007,Paraiba,Aug,8,1/1/2007
2008,Paraiba,Aug,1,1/1/2008
2009,Paraiba,Aug,4,1/1/2009
2010,Paraiba,Aug,9,1/1/2010
2011,Paraiba,Aug,12,1/1/2011
2012,Paraiba,Aug,13,1/1/2012
2013,Paraiba,Aug,3,1/1/2013
2014,Paraiba,Aug,30,1/1/2014
2015,Paraiba,Aug,5,1/1/2015
2016,Paraiba,Aug,50,1/1/2016
2017,Paraiba,Aug,3,1/1/2017
1998,Paraiba,Sept,50,1/1/1998
1999,Paraiba,Sept,14,1/1/1999
2000,Paraiba,Sept,9,1/1/2000
2001,Paraiba,Sept,98,1/1/2001
2002,Paraiba,Sept,63,1/1/2002
2003,Paraiba,Sept,81,1/1/2003
2004,Paraiba,Sept,34,1/1/2004
2005,Paraiba,Sept,13,1/1/2005
2006,Paraiba,Sept,27,1/1/2006
2007,Paraiba,Sept,22,1/1/2007
2008,Paraiba,Sept,21,1/1/2008
2009,Paraiba,Sept,28,1/1/2009
2010,Paraiba,Sept,37,1/1/2010
2011,Paraiba,Sept,55,1/1/2011
2012,Paraiba,Sept,71,1/1/2012
2013,Paraiba,Sept,25,1/1/2013
2014,Paraiba,Sept,51,1/1/2014
2015,Paraiba,Sept,48,1/1/2015
2016,Paraiba,Sept,131,1/1/2016
2017,Paraiba,Sept,30,1/1/2017
1998,Paraiba,Oct,179,1/1/1998
1999,Paraiba,Oct,48,1/1/1999
2000,Paraiba,Oct,125,1/1/2000
2001,Paraiba,Oct,279,1/1/2001
2002,Paraiba,Oct,193,1/1/2002
2003,Paraiba,Oct,381,1/1/2003
2004,Paraiba,Oct,190,1/1/2004
2005,Paraiba,Oct,155,1/1/2005
2006,Paraiba,Oct,135,1/1/2006
2007,Paraiba,Oct,111,1/1/2007
2008,Paraiba,Oct,80,1/1/2008
2009,Paraiba,Oct,117,1/1/2009
2010,Paraiba,Oct,150,1/1/2010
2011,Paraiba,Oct,200,1/1/2011
2012,Paraiba,Oct,136,1/1/2012
2013,Paraiba,Oct,58,1/1/2013
2014,Paraiba,Oct,70,1/1/2014
2015,Paraiba,Oct,121,1/1/2015
2016,Paraiba,Oct,304,1/1/2016
2017,Paraiba,Oct,123,1/1/2017
1998,Paraiba,Nov,46,1/1/1998
1999,Paraiba,Nov,38,1/1/1999
2000,Paraiba,Nov,65,1/1/2000
2001,Paraiba,Nov,294,1/1/2001
2002,Paraiba,Nov,238,1/1/2002
2003,Paraiba,Nov,538,1/1/2003
2004,Paraiba,Nov,331,1/1/2004
2005,Paraiba,Nov,280,1/1/2005
2006,Paraiba,Nov,215,1/1/2006
2007,Paraiba,Nov,256,1/1/2007
2008,Paraiba,Nov,175,1/1/2008
2009,Paraiba,Nov,428,1/1/2009
2010,Paraiba,Nov,451,1/1/2010
2011,Paraiba,Nov,359,1/1/2011
2012,Paraiba,Nov,130,1/1/2012
2013,Paraiba,Nov,95,1/1/2013
2014,Paraiba,Nov,111,1/1/2014
2015,Paraiba,Nov,206,1/1/2015
2016,Paraiba,Nov,132,1/1/2016
2017,Paraiba,Nov,101,1/1/2017
1998,Paraiba,Dec,51,1/1/1998
1999,Paraiba,Dec,40,1/1/1999
2000,Paraiba,Dec,34,1/1/2000
2001,Paraiba,Dec,70,1/1/2001
2002,Paraiba,Dec,163,1/1/2002
2003,Paraiba,Dec,288,1/1/2003
2004,Paraiba,Dec,351,1/1/2004
2005,Paraiba,Dec,159,1/1/2005
2006,Paraiba,Dec,196,1/1/2006
2007,Paraiba,Dec,133,1/1/2007
2008,Paraiba,Dec,187,1/1/2008
2009,Paraiba,Dec,270,1/1/2009
2010,Paraiba,Dec,65,1/1/2010
2011,Paraiba,Dec,179,1/1/2011
2012,Paraiba,Dec,62,1/1/2012
2013,Paraiba,Dec,78,1/1/2013
2014,Paraiba,Dec,62,1/1/2014
2015,Paraiba,Dec,122,1/1/2015
2016,Paraiba,Dec,8,1/1/2016
1998,Paraiba,Jan,0,1/1/1998
1999,Paraiba,Jan,7,1/1/1999
2000,Paraiba,Jan,49,1/1/2000
2001,Paraiba,Jan,32,1/1/2001
2002,Paraiba,Jan,47,1/1/2002
2003,Paraiba,Jan,109,1/1/2003
2004,Paraiba,Jan,88,1/1/2004
2005,Paraiba,Jan,55,1/1/2005
2006,Paraiba,Jan,78,1/1/2006
2007,Paraiba,Jan,11,1/1/2007
2008,Paraiba,Jan,35,1/1/2008
2009,Paraiba,Jan,35,1/1/2009
2010,Paraiba,Jan,18,1/1/2010
2011,Paraiba,Jan,35,1/1/2011
2012,Paraiba,Jan,31,1/1/2012
2013,Paraiba,Jan,28,1/1/2013
2014,Paraiba,Jan,86,1/1/2014
2015,Paraiba,Jan,120,1/1/2015
2016,Paraiba,Jan,113,1/1/2016
2017,Paraiba,Jan,55,1/1/2017
1998,Paraiba,Feb,0,1/1/1998
1999,Paraiba,Feb,22,1/1/1999
2000,Paraiba,Feb,67,1/1/2000
2001,Paraiba,Feb,8,1/1/2001
2002,Paraiba,Feb,24,1/1/2002
2003,Paraiba,Feb,46,1/1/2003
2004,Paraiba,Feb,42,1/1/2004
2005,Paraiba,Feb,77,1/1/2005
2006,Paraiba,Feb,60,1/1/2006
2007,Paraiba,Feb,32,1/1/2007
2008,Paraiba,Feb,38,1/1/2008
2009,Paraiba,Feb,21,1/1/2009
2010,Paraiba,Feb,46,1/1/2010
2011,Paraiba,Feb,8,1/1/2011
2012,Paraiba,Feb,40,1/1/2012
2013,Paraiba,Feb,9,1/1/2013
2014,Paraiba,Feb,52,1/1/2014
2015,Paraiba,Feb,58,1/1/2015
2016,Paraiba,Feb,31,1/1/2016
2017,Paraiba,Feb,60,1/1/2017
1998,Paraiba,March,0,1/1/1998
1999,Paraiba,March,40,1/1/1999
2000,Paraiba,March,52,1/1/2000
2001,Paraiba,March,12,1/1/2001
2002,Paraiba,March,18,1/1/2002
2003,Paraiba,March,76,1/1/2003
2004,Paraiba,March,83,1/1/2004
2005,Paraiba,March,84,1/1/2005
2006,Paraiba,March,56,1/1/2006
2007,Paraiba,March,54,1/1/2007
2008,Paraiba,March,43,1/1/2008
2009,Paraiba,March,57,1/1/2009
2010,Paraiba,March,22,1/1/2010
2011,Paraiba,March,21,1/1/2011
2012,Paraiba,March,55,1/1/2012
2013,Paraiba,March,18,1/1/2013
2014,Paraiba,March,42,1/1/2014
2015,Paraiba,March,55,1/1/2015
2016,Paraiba,March,63,1/1/2016
2017,Paraiba,March,43,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,39,1/1/1999
2000,Paraiba,April,51,1/1/2000
2001,Paraiba,April,43,1/1/2001
2002,Paraiba,April,84,1/1/2002
2003,Paraiba,April,130,1/1/2003
2004,Paraiba,April,68,1/1/2004
2005,Paraiba,April,22,1/1/2005
2006,Paraiba,April,49,1/1/2006
2007,Paraiba,April,14,1/1/2007
2008,Paraiba,April,62,1/1/2008
2009,Paraiba,April,80,1/1/2009
2010,Paraiba,April,71,1/1/2010
2011,Paraiba,April,38,1/1/2011
2012,Paraiba,April,38,1/1/2012
2013,Paraiba,April,72,1/1/2013
2014,Paraiba,April,38,1/1/2014
2015,Paraiba,April,83,1/1/2015
2016,Paraiba,April,167,1/1/2016
2017,Paraiba,April,77,1/1/2017
1998,Paraiba,May,0,1/1/1998
1999,Paraiba,May,57,1/1/1999
2000,Paraiba,May,43,1/1/2000
2001,Paraiba,May,26,1/1/2001
2002,Paraiba,May,65,1/1/2002
2003,Paraiba,May,115,1/1/2003
2004,Paraiba,May,9,1/1/2004
2005,Paraiba,May,125,1/1/2005
2006,Paraiba,May,90,1/1/2006
2007,Paraiba,May,14,1/1/2007
2008,Paraiba,May,41,1/1/2008
2009,Paraiba,May,117,1/1/2009
2010,Paraiba,May,39,1/1/2010
2011,Paraiba,May,97,1/1/2011
2012,Paraiba,May,86,1/1/2012
2013,Paraiba,May,85,1/1/2013
2014,Paraiba,May,109,1/1/2014
2015,Paraiba,May,77,1/1/2015
2016,Paraiba,May,72,1/1/2016
2017,Paraiba,May,49,1/1/2017
1998,Paraiba,June,36,1/1/1998
1999,Paraiba,June,31,1/1/1999
2000,Paraiba,June,53,1/1/2000
2001,Paraiba,June,43,1/1/2001
2002,Paraiba,June,115,1/1/2002
2003,Paraiba,June,159,1/1/2003
2004,Paraiba,June,147,1/1/2004
2005,Paraiba,June,114,1/1/2005
2006,Paraiba,June,62,1/1/2006
2007,Paraiba,June,57,1/1/2007
2008,Paraiba,June,17,1/1/2008
2009,Paraiba,June,105,1/1/2009
2010,Paraiba,June,55,1/1/2010
2011,Paraiba,June,162,1/1/2011
2012,Paraiba,June,77,1/1/2012
2013,Paraiba,June,52,1/1/2013
2014,Paraiba,June,112,1/1/2014
2015,Paraiba,June,201,1/1/2015
2016,Paraiba,June,238,1/1/2016
2017,Paraiba,June,169,1/1/2017
1998,Paraiba,July,59,1/1/1998
1999,Paraiba,July,94,1/1/1999
2000,Paraiba,July,98,1/1/2000
2001,Paraiba,July,122,1/1/2001
2002,Paraiba,July,172,1/1/2002
2003,Paraiba,July,101,1/1/2003
2004,Paraiba,July,148,1/1/2004
2005,Paraiba,July,155,1/1/2005
2006,Paraiba,July,139,1/1/2006
2007,Paraiba,July,60,1/1/2007
2008,Paraiba,July,87,1/1/2008
2009,Paraiba,July,34,1/1/2009
2010,Paraiba,July,196,1/1/2010
2011,Paraiba,July,262,1/1/2011
2012,Paraiba,July,111,1/1/2012
2013,Paraiba,July,168,1/1/2013
2014,Paraiba,July,215,1/1/2014
2015,Paraiba,July,137,1/1/2015
2016,Paraiba,July,504,1/1/2016
2017,Paraiba,July,891,1/1/2017
1998,Paraiba,Aug,42,1/1/1998
1999,Paraiba,Aug,938,1/1/1999
2000,Paraiba,Aug,849,1/1/2000
2001,Paraiba,Aug,342,1/1/2001
